time;gFx;gFy;gFz;TgF
0.295085538;0,0048;-0,0328;1,0110;1,012
0.29766123;0,0026;-0,0352;1,0120;1,013
0.300164384;-0,0184;-0,0326;1,0147;1,015
0.303396307;-0,0271;-0,0264;1,0252;1,026
0.305386154;-0,0127;-0,0296;1,0186;1,019
0.30776;-0,0024;-0,0323;1,0000;1,001
0.310160615;-0,0081;-0,0352;0,9830;0,984
0.312940307;-0,0222;-0,0373;0,9744;0,975
0.315285307;-0,0288;-0,0384;0,9761;0,977
0.317855769;-0,0217;-0,0396;0,9863;0,987
0.320742846;-0,0132;-0,0413;0,9981;0,999
0.322937;-0,0026;-0,0389;1,0049;1,006
0.325473538;0,0038;-0,0342;1,0033;1,004
0.328164;-0,0037;-0,0347;1,0000;1,001
0.330349307;-0,0188;-0,0391;0,9998;1,001
0.332879384;-0,0232;-0,0398;0,9971;0,998
0.335647769;-0,0091;-0,0342;0,9917;0,992
0.338155154;0,0055;-0,0310;0,9917;0,992
0.340595692;0,0060;-0,0310;0,9942;0,995
0.342888615;-0,0105;-0,0357;0,9998;1,000
0.345376077;-0,0222;-0,0340;0,9991;1,000
0.347986154;-0,0144;-0,0313;0,9984;0,999
0.350367769;-0,0005;-0,0338;1,0012;1,002
0.353087154;0,0043;-0,0345;1,0024;1,003
0.355302846;-0,0051;-0,0349;1,0064;1,007
0.358239461;-0,0186;-0,0308;1,0089;1,010
0.360466769;-0,0151;-0,0257;1,0387;1,039
0.362979154;0,0094;-0,0298;1,0494;1,050
0.365414769;0,0148;-0,0357;1,0284;1,029
0.370203692;-0,0083;-0,0398;0,9861;0,987
0.370738538;-0,0281;-0,0357;0,9609;0,962
0.373126538;-0,0296;-0,0305;0,9568;0,958
0.376041;-0,0249;-0,0284;0,9791;0,980
0.378498461;-0,0149;-0,0313;0,9973;0,998
0.380917307;-0,0034;-0,0342;1,0059;1,007
0.383484;-0,0007;-0,0359;1,0040;1,005
0.386806461;-0,0159;-0,0354;1,0015;1,002
0.388412692;-0,0244;-0,0317;1,0033;1,004
0.391161615;-0,0130;-0,0313;1,0010;1,002
0.393663769;0,0011;-0,0328;1,0008;1,001
0.396150461;-0,0030;-0,0352;1,0020;1,003
0.398460077;-0,0127;-0,0366;0,9986;0,999
0.400973615;-0,0083;-0,0320;0,9935;0,994
0.403944;-0,0079;-0,0308;0,9930;0,993
0.406038538;-0,0186;-0,0310;0,9954;0,996
0.408803077;-0,0156;-0,0298;0,9979;0,998
0.410884307;-0,0088;-0,0296;1,0000;1,000
0.413660307;-0,0107;-0,0340;1,0033;1,004
0.416055461;-0,0188;-0,0338;1,0079;1,009
0.419565538;-0,0179;-0,0268;1,0223;1,023
0.421297615;-0,0032;-0,0271;1,0338;1,034
0.423536384;-0,0007;-0,0310;1,0294;1,030
0.426067769;-0,0127;-0,0345;1,0059;1,007
0.428597615;-0,0188;-0,0379;0,9781;0,979
0.431089307;-0,0147;-0,0476;0,9609;0,962
0.433583692;-0,0198;-0,0396;0,9688;0,970
0.436657;-0,0149;-0,0176;0,9854;0,986
0.43871423;0,0114;-0,0042;0,9886;0,989
0.441265846;0,0001;-0,0152;0,9839;0,984
0.443679692;-0,0540;-0,0435;0,9854;0,988
0.446240077;-0,0689;-0,0648;0,9856;0,990
0.448715461;-0,0068;-0,0487;1,0049;1,006
0.451137615;0,0463;-0,0130;1,0210;1,022
0.453962846;0,0236;0,0013;1,0182;1,018
0.456329;-0,0310;-0,0147;1,0010;1,002
0.459040307;-0,0525;-0,0442;0,9827;0,985
0.461455154;-0,0217;-0,0535;0,9979;1,000
0.46395823;0,0267;-0,0426;1,0208;1,022
0.466402154;0,0295;-0,0242;1,0231;1,024
0.473653615;0,0023;-0,0212;1,0081;1,008
0.474792;-0,0161;-0,0279;0,9986;0,999
0.475424307;0,0009;-0,0340;0,9935;0,994
0.476384923;0,0258;-0,0286;0,9861;0,987
0.479294769;0,0263;-0,0254;0,9847;0,985
0.481483692;-0,0081;-0,0296;0,9917;0,992
0.484165615;-0,0296;-0,0361;0,9991;1,000
0.486905923;-0,0277;-0,0345;1,0115;1,013
0.488921923;-0,0063;-0,0310;1,0096;1,010
