time;gFx;gFy;gFz;TgF
0,623308;0,0069;0,0049;0,0082;0,012
0,624030;0,0064;-0,0081;0,0081;0,013
0,626228;0,0063;0,0056;0,0081;0,012
0,630965;-0,0210;-0,0081;0,0081;0,024
0,637613;0,0062;-0,0217;-0,0055;0,023
0,641128;0,0059;0,0050;-0,0327;0,034
0,645847;0,0058;-0,0086;-0,0055;0,012
0,650775;0,0058;-0,0086;0,0082;0,013
0,655818;0,0058;-0,0222;0,0082;0,024
0,660971;0,0053;-0,0208;-0,0055;0,022
0,666278;0,0053;-0,0069;-0,0055;0,010
0,671033;-0,0083;-0,0070;0,0081;0,014
0,675971;0,0053;-0,0069;-0,0055;0,010
0,681798;-0,0078;0,0063;-0,0055;0,011
0,686144;0,0059;-0,0073;-0,0055;0,011
0,691351;-0,0079;-0,0072;-0,0055;0,012
0,696228;0,0058;-0,0072;-0,0055;0,011
0,701503;0,0055;-0,0195;-0,0055;0,021
0,706470;-0,0083;-0,0057;-0,0056;0,011
0,711328;0,0190;-0,0057;0,0081;0,021
0,722986;0,0054;-0,0056;-0,0056;0,010
0,723779;0,0051;-0,0052;-0,0056;0,009
0,726422;0,0051;-0,0052;-0,0056;0,009
0,735231;-0,0085;-0,0052;0,0080;0,013
0,738122;-0,0085;-0,0052;-0,0056;0,011
0,741981;0,0047;-0,0049;-0,0192;0,020
0,746931;0,0047;-0,0048;-0,0192;0,020
0,751585;-0,0088;0,0088;-0,0056;0,014
0,756433;0,0184;0,0089;-0,0056;0,021
0,761825;-0,0083;-0,0044;-0,0056;0,011
0,772234;0,0054;-0,0044;-0,0056;0,009
0,773078;0,0053;-0,0181;-0,0192;0,027
0,776647;0,0054;0,0091;-0,0056;0,012
0,782064;0,0050;0,0085;0,0080;0,013
0,786733;0,0186;0,0085;0,0080;0,022
0,791846;0,0050;-0,0051;-0,0056;0,009
0,796946;0,0051;0,0085;0,0080;0,013
0,802069;0,0174;-0,0176;-0,0056;0,025
0,806604;-0,0100;-0,0039;0,0080;0,013
0,811884;-0,0099;-0,0039;-0,0056;0,012
0,818824;-0,0099;-0,0175;-0,0056;0,021
0,822148;0,0035;-0,0164;-0,0193;0,026
