time;gFx;gFy;gFz;TgF
0.002641231;0,0879;0,2818;0,9986;1,041
0.003072308;0,0917;0,2784;1,0206;1,062
0.003308308;0,0923;0,2740;1,0406;1,080
0.003523692;0,0924;0,2703;1,0592;1,097
0.004758231;0,0903;0,2635;1,0753;1,111
0.009136077;0,0859;0,2540;1,0934;1,126
0.009732385;0,0825;0,2447;1,1078;1,137
0.012409615;0,0793;0,2366;1,1261;1,153
0.015023462;0,0739;0,2312;1,1403;1,166
0.017272615;0,0688;0,2288;1,1547;1,179
0.019893615;0,0666;0,2239;1,1701;1,193
0.022309;0,0642;0,2217;1,1852;1,207
0.027715692;0,0583;0,2244;1,1964;1,219
0.028284923;0,0588;0,2263;1,2009;1,223
0.029919385;0,0581;0,2291;1,2013;1,224
0.032422231;0,0525;0,2322;1,1974;1,221
0.035035692;0,0497;0,2381;1,1864;1,211
0.037386846;0,0432;0,2424;1,1723;1,198
0.040132308;0,0326;0,2444;1,1542;1,180
0.043675462;0,0216;0,2479;1,1337;1,161
0.045139769;0,0104;0,2466;1,1085;1,136
0.047631769;0,0034;0,2481;1,0836;1,112
0.050197923;-0,0042;0,2466;1,0562;1,085
0.052681846;-0,0083;0,2468;1,0264;1,056
0.055083692;-0,0110;0,2454;0,9942;1,024
0.061839692;-0,0176;0,2420;0,9678;0,998
0.062607077;-0,0232;0,2396;0,9436;0,974
0.063054231;-0,0310;0,2361;0,9221;0,952
0.065395385;-0,0379;0,2379;0,9055;0,937
0.067689308;-0,0486;0,2433;0,8891;0,923
0.070165846;-0,0557;0,2489;0,8735;0,910
0.073387769;-0,0599;0,2617;0,8591;0,900
0.092246231;-0,0643;0,2728;0,8484;0,893
0.092940308;-0,0706;0,2838;0,8363;0,886
0.093304308;-0,0769;0,2911;0,8279;0,881
0.093621231;-0,0818;0,2960;0,8175;0,873
0.093905923;-0,0877;0,3018;0,8112;0,870
0.094214462;-0,0916;0,3069;0,8063;0,868
0.094593923;-0,0913;0,3102;0,8014;0,864
0.094972615;-0,0923;0,3111;0,7960;0,860
0.098044385;-0,0894;0,3136;0,7892;0,854
0.098513308;-0,0813;0,3160;0,7848;0,850
0.100547154;-0,0760;0,3155;0,7770;0,842
0.103229846;-0,0728;0,3124;0,7721;0,836
0.105501;-0,0703;0,3109;0,7645;0,828
0.108923462;-0,0671;0,3097;0,7587;0,822
0.110774462;-0,0640;0,3109;0,7513;0,816
0.113332308;-0,0633;0,3087;0,7464;0,810
0.115754462;-0,0615;0,3102;0,7418;0,806
0.118446846;-0,0620;0,3136;0,7411;0,807
0.120801308;-0,0608;0,3146;0,7428;0,809
0.123297231;-0,0615;0,3178;0,7457;0,813
0.125966539;-0,0606;0,3209;0,7555;0,823
0.128410231;-0,0603;0,3231;0,7669;0,834
0.130868308;-0,0606;0,3270;0,7797;0,848
0.133508077;-0,0606;0,3295;0,7927;0,861
0.135898462;-0,0596;0,3290;0,8053;0,872
0.138268077;-0,0596;0,3299;0,8198;0,886
0.141405539;-0,0584;0,3304;0,8344;0,899
0.143377308;-0,0564;0,3326;0,8479;0,913
0.145918462;-0,0533;0,3314;0,8586;0,922
0.148405231;-0,0494;0,3287;0,8706;0,932
0.150998846;-0,0438;0,3283;0,8871;0,947
0.153519462;-0,0381;0,3277;0,8992;0,958
0.155959154;-0,0320;0,3246;0,9089;0,966
0.160846846;-0,0266;0,3229;0,9197;0,975
0.161557539;-0,0176;0,3253;0,9321;0,987
0.163382231;-0,0086;0,3270;0,9432;0,998
0.165884;-0,0005;0,3295;0,9549;1,010
0.168448077;0,0072;0,3297;0,9658;1,021
0.17094;0,0150;0,3280;0,9756;1,029
0.173628077;0,0207;0,3283;0,9856;1,039
0.176022846;0,0290;0,3285;0,9912;1,045
0.178951769;0,0360;0,3299;0,9952;1,049
0.181351462;0,0473;0,3285;0,9986;1,052
0.183760385;0,0556;0,3283;0,9993;1,053
0.186148385;0,0644;0,3260;1,0022;1,056
0.188857;0,0735;0,3227;1,0045;1,058
0.192283769;0,0798;0,3197;1,0073;1,060
0.193723154;0,0844;0,3170;1,0152;1,067
0.196413846;0,0893;0,3160;1,0206;1,072
0.198707769;0,0924;0,3141;1,0257;1,077
0.201213616;0,0942;0,3111;1,0333;1,083
0.20396;0,0998;0,3085;1,0399;1,089
0.206389616;0,1010;0,3085;1,0474;1,097
0.209958231;0,1047;0,3090;1,0555;1,105
0.211498154;0,1062;0,3053;1,0597;1,108
0.213817308;0,1064;0,3082;1,0616;1,111
0.216557846;0,1066;0,3072;1,0634;1,112
0.218982769;0,1096;0,3041;1,0674;1,115
0.221481539;0,1103;0,3048;1,0692;1,117
0.225333539;0,1115;0,3038;1,0704;1,118
0.226633;0,1125;0,3036;1,0743;1,122
0.228916923;0,1140;0,3021;1,0741;1,122
0.231531385;0,1171;0,3006;1,0753;1,123
0.234992385;0,1177;0,3009;1,0753;1,123
0.236551385;0,1191;0,2985;1,0743;1,121
0.238924;0,1157;0,2945;1,0704;1,116
0.241624923;0,1189;0,2920;1,0685;1,114
0.244536616;0,1203;0,2906;1,0626;1,108
0.246912385;0,1182;0,2874;1,0580;1,103
0.249124616;0,1143;0,2850;1,0520;1,096
0.251933539;0,1110;0,2806;1,0438;1,087
0.254168616;0,1096;0,2794;1,0340;1,077
0.256813539;0,1050;0,2767;1,0266;1,068
0.266505923;0,1020;0,2743;1,0150;1,056
0.268331385;0,1010;0,2735;1,0066;1,048
0.269271154;0,0982;0,2722;0,9993;1,040
0.269813923;0,0942;0,2713;0,9896;1,030
0.270138846;0,0923;0,2738;0,9839;1,025
0.271675154;0,0879;0,2779;0,9768;1,019
0.292618231;0,0825;0,2828;0,9695;1,013
0.293184923;0,0773;0,2848;0,9614;1,006
0.293456077;0,0730;0,2916;0,9529;0,999
0.293689539;0,0670;0,2943;0,9424;0,990
0.293943154;0,0600;0,2952;0,9318;0,979
0.294168;0,0537;0,2989;0,9234;0,972
0.294406769;0,0470;0,2989;0,9138;0,963
0.294712385;0,0407;0,3001;0,9072;0,956
0.294973308;0,0372;0,2994;0,8964;0,946
0.297011692;0,0334;0,3006;0,8880;0,938
0.299499692;0,0255;0,3016;0,8833;0,934
0.301847462;0,0202;0,3013;0,8747;0,925
0.304436385;0,0141;0,3016;0,8686;0,920
0.307088077;0,0067;0,3029;0,8589;0,911
0.309473616;0,0021;0,3021;0,8524;0,904
0.312080077;-0,0046;0,3048;0,8508;0,904
0.314818846;-0,0100;0,3069;0,8491;0,903
0.317172692;-0,0154;0,3067;0,8484;0,902
0.319574846;-0,0205;0,3109;0,8488;0,904
0.321980077;-0,0254;0,3136;0,8520;0,908
0.325478231;-0,0298;0,3183;0,8542;0,912
0.327197231;-0,0359;0,3234;0,8561;0,916
0.329497539;-0,0428;0,3239;0,8608;0,921
0.332185539;-0,0473;0,3295;0,8640;0,926
0.334783769;-0,0515;0,3321;0,8671;0,930
0.337145616;-0,0542;0,3341;0,8689;0,932
0.339534231;-0,0584;0,3388;0,8698;0,935
0.342125616;-0,0626;0,3407;0,8708;0,937
0.344824692;-0,0645;0,3409;0,8723;0,939
0.347607692;-0,0667;0,3395;0,8730;0,939
0.349768385;-0,0669;0,3365;0,8754;0,940
0.352430154;-0,0687;0,3341;0,8787;0,943
0.354793308;-0,0703;0,3321;0,8794;0,943
0.357434846;-0,0726;0,3287;0,8852;0,947
0.367201308;-0,0752;0,3272;0,8884;0,950
0.368547692;-0,0764;0,3241;0,8940;0,954
0.369493539;-0,0774;0,3236;0,8994;0,959
0.369910462;-0,0820;0,3239;0,9055;0,965
0.370229231;-0,0862;0,3211;0,9131;0,972
0.372402231;-0,0845;0,3255;0,9197;0,979
0.385472077;-0,0865;0,3251;0,9272;0,986
0.386146462;-0,0843;0,3260;0,9358;0,995
0.386656308;-0,0818;0,3292;0,9441;1,003
0.387084616;-0,0801;0,3290;0,9527;1,011
0.387465;-0,0773;0,3272;0,9585;1,016
0.387803462;-0,0769;0,3272;0,9624;1,019
0.390681616;-0,0762;0,3272;0,9649;1,022
0.392836692;-0,0733;0,3258;0,9656;1,022
0.395148;-0,0728;0,3270;0,9673;1,024
0.397676616;-0,0692;0,3243;0,9693;1,024
