time,gFx,gFy,gFz,TgF
0.299432083,0.0375,0.0018,1.0094,1.010
0.302834115,0.0387,0.0009,1.0114,1.012
0.30459026,0.0380,0.0028,1.0092,1.010
0.30750125,0.0363,-0.0002,1.0077,1.008
0.310286719,0.0353,0.0021,1.0114,1.012
0.312137604,0.0392,0.0011,1.0090,1.010
0.314690469,0.0367,0.0009,1.0097,1.010
0.317095677,0.0348,0.0011,1.0058,1.006
0.319683854,0.0367,0.0013,1.0112,1.012
0.322201771,0.0372,0.0004,1.0077,1.008
0.334004115,0.0355,-0.0006,1.0077,1.008
0.335396823,0.0382,0.0004,1.0080,1.009
0.335912656,0.0365,-0.0009,1.0090,1.010
0.336487396,0.0333,0.0011,1.0065,1.007
0.336973594,0.0370,0.0038,1.0068,1.007
0.337445156,0.0358,0.0021,1.0090,1.010
0.33990526,0.0355,0.0031,1.0038,1.004
0.342408438,0.0394,0.0006,1.0075,1.008
0.344665104,0.0358,-0.0026,1.0070,1.008
0.347159271,0.0367,0.0004,1.0092,1.010
0.349639271,0.0370,0.0013,1.0058,1.006
0.352230781,0.0370,0.0028,1.0082,1.009
0.354851406,0.0375,0.0028,1.0087,1.009
0.357318177,0.0367,-0.0011,1.0077,1.008
0.359963385,0.0358,-0.0019,1.0077,1.008
0.36385651,0.0355,-0.0009,1.0087,1.009
0.365057813,0.0363,0.0001,1.0075,1.008
0.36750776,0.0353,0.0006,1.0058,1.006
0.37016099,0.0353,0.0009,1.0097,1.010
0.372916563,0.0365,-0.0006,1.0126,1.013
0.375479427,0.0353,0.0016,1.0124,1.013
0.3774975,0.0387,0.0013,1.0082,1.009
0.379987969,0.0385,0.0021,1.0077,1.008
0.383075104,0.0345,-0.0004,1.0102,1.011
0.385049687,0.0365,0.0031,1.0077,1.008
0.38749099,0.0353,-0.0006,1.0063,1.007
0.390181094,0.0377,0.0009,1.0058,1.006
0.392774531,0.0365,0.0021,1.0075,1.008
0.395119271,0.0345,0.0001,1.0070,1.008
0.397658021,0.0333,-0.0004,1.0068,1.007
0.400083958,0.0355,-0.0019,1.0065,1.007
0.402722031,0.0348,-0.0004,1.0085,1.009
0.418081823,0.0338,-0.0004,1.0102,1.011
0.419290937,0.0375,0.0006,1.0082,1.009
0.419915521,0.0353,0.0011,1.0099,1.011
0.420502812,0.0345,0.0013,1.0072,1.008
0.421160417,0.0365,0.0001,1.0053,1.006
0.421764687,0.0367,0.0021,1.0055,1.006
0.422425208,0.0382,0.0021,1.0068,1.007
0.424631042,0.0370,0.0026,1.0092,1.010
0.42562026,0.0363,0.0026,1.0092,1.010
0.427887031,0.0365,0.0001,1.0075,1.008
0.430474427,0.0355,0.0026,1.0080,1.009
0.432849427,0.0365,-0.0002,1.0107,1.011
0.4355075,0.0377,-0.0021,1.0107,1.011
0.438054271,0.0355,0.0006,1.0085,1.009
0.441003906,0.0353,-0.0002,1.0099,1.011
0.443115625,0.0335,0.0004,1.0109,1.011
0.445660312,0.0328,-0.0014,1.0048,1.005
0.448015833,0.0345,-0.0004,1.0055,1.006
