time;gFx;gFy;gFz;TgF
0.002306539;-0,0401;0,0973;1,0084;1,014
0.002664616;-0,0393;0,1017;1,0138;1,020
0.002876385;-0,0364;0,1008;1,0223;1,028
0.003217846;-0,0349;0,1035;1,0264;1,032
0.011574231;-0,0320;0,1076;1,0303;1,036
0.011873308;-0,0310;0,1089;1,0308;1,037
0.012026462;-0,0268;0,1105;1,0296;1,036
0.012169616;-0,0247;0,1120;1,0282;1,035
0.015141231;-0,0215;0,1133;1,0264;1,033
0.020914539;-0,0186;0,1133;1,0233;1,030
0.021407077;-0,0195;0,1130;1,0218;1,028
0.022137308;-0,0207;0,1125;1,0189;1,025
0.024855077;-0,0210;0,1103;1,0133;1,019
0.02735577;-0,0210;0,1082;1,0091;1,015
0.029660077;-0,0203;0,1069;1,0079;1,014
0.033521539;-0,0207;0,1061;1,0024;1,008
0.034773616;-0,0215;0,1045;1,0010;1,007
0.037232693;-0,0191;0,1008;0,9986;1,004
0.03978;-0,0151;0,0989;0,9964;1,001
0.042211462;-0,0151;0,0989;0,9937;0,999
0.044859693;-0,0093;0,0979;0,9944;0,999
0.047349;-0,0075;0,0968;0,9949;1,000
0.049840616;-0,0039;0,0961;0,9924;0,997
0.052474847;-0,0005;0,0952;0,9900;0,995
0.054850154;0,0011;0,0949;0,9866;0,991
0.057456385;0,0046;0,0924;0,9832;0,988
0.060021;0,0046;0,0910;0,9815;0,986
0.062461539;0,0038;0,0923;0,9812;0,986
0.064897616;0,0009;0,0915;0,9788;0,983
0.067657923;0,0013;0,0903;0,9751;0,979
0.070078539;0,0031;0,0915;0,9724;0,977
0.072643385;0,0016;0,0908;0,9698;0,974
0.074947462;0,0006;0,0896;0,9681;0,972
0.077605;-0,0017;0,0912;0,9656;0,970
0.080051385;-0,0051;0,0896;0,9644;0,969
0.087038231;-0,0066;0,0903;0,9637;0,968
0.087914462;-0,0068;0,0910;0,9642;0,968
0.088274539;-0,0110;0,0930;0,9637;0,968
0.090224923;-0,0130;0,0942;0,9663;0,971
0.093028077;-0,0168;0,0971;0,9663;0,971
0.095428923;-0,0173;0,0984;0,9686;0,974
0.097688923;-0,0191;0,1012;0,9675;0,973
0.101331462;-0,0217;0,1033;0,9639;0,970
0.102756;-0,0261;0,1069;0,9626;0,969
0.105266847;-0,0268;0,1091;0,9609;0,967
0.107885923;-0,0286;0,1108;0,9593;0,966
0.110321;-0,0305;0,1122;0,9570;0,964
0.112759693;-0,0286;0,1115;0,9572;0,964
0.116248308;-0,0303;0,1128;0,9546;0,962
0.117931693;-0,0300;0,1110;0,9521;0,959
0.120460308;-0,0312;0,1113;0,9553;0,962
0.12289977;-0,0315;0,1108;0,9558;0,963
0.126037;-0,0347;0,1079;0,9600;0,967
0.127934231;-0,0337;0,1086;0,9644;0,971
0.130319693;-0,0345;0,1061;0,9702;0,977
0.133120616;-0,0342;0,1045;0,9732;0,979
0.135689231;-0,0357;0,1066;0,9793;0,986
0.138064923;-0,0342;0,1073;0,9835;0,990
0.140984616;-0,0349;0,1079;0,9871;0,994
0.142978231;-0,0357;0,1091;0,9942;1,001
0.145554154;-0,0391;0,1086;1,0010;1,008
0.148001847;-0,0384;0,1086;1,0079;1,014
0.150726539;-0,0396;0,1098;1,0140;1,021
0.153222847;-0,0384;0,1093;1,0171;1,024
0.155717923;-0,0381;0,1069;1,0203;1,027
0.158180077;-0,0366;0,1049;1,0257;1,032
0.160675462;-0,0373;0,1024;1,0257;1,031
0.163074462;-0,0368;0,1005;1,0252;1,031
0.166220693;-0,0349;0,0981;1,0266;1,032
0.168380923;-0,0333;0,0971;1,0259;1,031
0.170864;-0,0320;0,0937;1,0257;1,030
0.17331477;-0,0300;0,0919;1,0203;1,025
0.175671693;-0,0274;0,0905;1,0182;1,023
0.17839177;-0,0252;0,0891;1,0174;1,022
0.181547693;-0,0249;0,0888;1,0164;1,021
0.184214539;-0,0247;0,0886;1,0140;1,018
0.186060385;-0,0230;0,0879;1,0125;1,017
0.188521231;-0,0232;0,0863;1,0117;1,016
0.191081616;-0,0244;0,0839;1,0098;1,014
0.193407077;-0,0232;0,0822;1,0089;1,012
0.195885923;-0,0232;0,0828;1,0079;1,012
0.205226154;-0,0249;0,0815;1,0076;1,011
0.205824693;-0,0235;0,0817;1,0054;1,009
0.206129616;-0,0242;0,0803;1,0040;1,007
0.206433308;-0,0247;0,0798;1,0045;1,008
